Location;Date;DDVEC;FHVEC;FG;FHX;FHXN;FHN;FHNH
  225;20170101;  212;   81;   95;  130;    2;   10;   22
  225;20170102;  346;   78;   85;  110;    8;   60;   15
  225;20170103;  277;  113;  114;  130;   17;   90;    1
  225;20170104;  331;  126;  131;  160;    9;   80;   22
  225;20170105;   59;   39;   54;  110;    1;   20;   21
  225;20170106;  167;   50;   52;   80;   22;   30;    1
  225;20170107;  222;   50;   79;  120;    7;   40;   15
  225;20170108;  312;   18;   31;   50;    2;   10;   15
  225;20170109;  192;   74;   78;  120;   20;   30;    1
  225;20170110;  241;   48;   58;   80;    3;   40;   10
  225;20170111;  262;  127;  148;  170;   14;   90;    1
  225;20170112;  266;   72;  104;  160;    1;   30;   19
  225;20170113;  315;  120;  138;  170;   18;   80;   16
  225;20170114;  330;  108;  116;  150;    1;   90;   23
  225;20170115;  349;   30;   42;   80;    2;   20;    9
  225;20170116;   77;   38;   43;   60;   12;   30;    3
  225;20170117;  137;   23;   25;   40;    1;   10;   24
  225;20170118;  127;   20;   21;   40;    3;   10;   15
  225;20170119;   97;   21;   23;   50;   24;    0;   12
  225;20170120;   85;   48;   49;   70;   17;   40;    1
  225;20170121;   89;   50;   51;   90;   11;   20;   22
  225;20170122;  190;    6;   33;   50;   15;   10;   11
  225;20170123;  207;   28;   35;   50;   12;   20;    2
  225;20170124;  177;    3;   30;   50;    1;   10;    8
  225;20170125;  142;   27;   30;   40;    1;   20;    5
  225;20170126;  130;   31;   32;   40;    3;   20;   17
  225;20170127;  139;   47;   49;   70;   10;   30;    2
  225;20170128;  173;   68;   73;   90;   22;   60;    1
  225;20170129;  191;   74;   78;  110;   10;   50;   17
  225;20170130;   25;   17;   58;   70;    2;   20;   21
  225;20170131;   96;   28;   40;   60;    6;   20;    1
  225;20170201;  141;   59;   60;   70;   15;   50;    1
  225;20170202;  152;   64;   64;   80;   13;   50;    3
  225;20170203;  171;   48;   52;   70;    3;   30;   15
  225;20170204;  156;   20;   49;  100;    4;   10;   20
  225;20170205;   11;    7;   31;   50;    9;   10;    6
  225;20170206;   88;   20;   25;   40;    9;    0;    6
  225;20170207;   92;   74;   74;   90;   20;   50;    1
  225;20170208;   71;   94;   94;  110;    2;   80;   21
  225;20170209;   79;   92;   93;  110;   20;   80;    4
  225;20170210;   81;   72;   73;   80;    1;   60;   13
  225;20170211;   71;   82;   83;  110;   23;   50;    9
  225;20170212;   84;  107;  108;  120;    1;  100;    3
  225;20170213;   90;  106;  106;  120;    1;   90;   23
  225;20170214;  107;   50;   54;   80;    1;   30;   17
  225;20170215;  166;   45;   53;   90;   23;   30;   13
  225;20170216;  223;   78;   80;  100;    1;   70;   11
  225;20170217;  282;   53;   57;  100;    3;   10;   21
  225;20170218;  204;   43;   45;   80;   22;   20;    1
  225;20170219;  231;   77;   78;  110;    6;   40;   16
  225;20170220;  232;   91;   97;  110;    5;   80;    1
  225;20170221;  240;   76;   84;  150;   24;   50;   14
  225;20170222;  239;  107;  110;  160;    2;   60;   24
  225;20170223;  247;  129;  160;  220;   17;   40;    3
  225;20170224;  297;   61;   71;  130;    3;   40;   20
  225;20170225;  210;  120;  120;  150;   17;   70;    1
  225;20170226;  213;  133;  133;  150;   18;  120;   14
  225;20170227;  197;  123;  127;  170;   24;   90;   15
  225;20170228;  224;  117;  121;  160;    4;   80;   20
  225;20170301;  227;   59;   69;   90;   20;   50;    2
  225;20170302;  250;  111;  119;  200;    5;   70;    2
  225;20170303;  156;   53;   60;   90;    2;   40;   13
  225;20170304;  181;   48;   55;   80;   14;   30;   17
  225;20170305;  190;   83;   89;  120;    3;   50;   19
  225;20170306;  290;   11;   35;   60;   16;   20;    7
  225;20170307;  277;   29;   38;   60;    2;   10;    6
  225;20170308;  212;   48;   70;  110;   12;   30;   20
  225;20170309;  266;   51;   75;  110;   14;   40;    6
  225;20170310;  239;   14;   29;   50;    1;   10;   16
  225;20170311;  125;   28;   32;   60;    6;   10;   13
  225;20170312;  102;   35;   38;   50;    2;   20;   15
  225;20170313;  285;   22;   34;   50;    7;   10;    3
  225;20170314;  227;   72;   73;  100;   13;   50;    1
  225;20170315;  261;   26;   33;   60;    1;   20;   13
  225;20170316;  220;   55;   60;   80;   13;   40;    1
  225;20170317;  249;   95;  106;  160;   22;   60;    3
  225;20170318;  248;   75;   79;  160;    1;   20;   17
  225;20170319;  229;  121;  121;  140;    7;   70;    1
  225;20170320;  226;  122;  125;  180;   16;   60;   22
  225;20170321;  240;   94;  102;  120;    7;   80;    1
  225;20170322;  151;   50;   55;   80;   13;   30;   19
  225;20170323;   74;   80;   81;  120;   21;   40;    1
  225;20170324;   68;   92;   93;  120;   14;   80;    1
  225;20170325;   61;   73;   75;   90;   14;   60;    5
  225;20170326;   74;   68;   68;   90;    2;   50;    7
  225;20170327;   85;   42;   44;   70;    1;   10;   19
  225;20170328;  212;   42;   49;  100;   21;   20;    4
  225;20170329;  219;   87;   88;  110;    2;   60;   21
  225;20170330;  192;   57;   62;   90;    8;   30;   19
  225;20170331;  197;   61;   70;  110;   14;   50;   24
  225;20170401;  186;   41;   48;   60;    9;   40;    1
  225;20170402;  287;   17;   44;   60;    2;   30;   11
  225;20170403;  121;    6;   21;   40;   23;   10;    4
  225;20170404;  265;    7;   37;   50;    3;   20;   23
  225;20170405;  334;   74;   75;  100;   23;   50;    1
  225;20170406;  323;   51;   67;  110;    1;   30;   20
  225;20170407;  282;   44;   49;   80;    1;   20;   20
  225;20170408;  313;   19;   30;   40;    6;   10;   22
  225;20170409;  203;   32;   45;  100;   24;   20;   13
  225;20170410;  315;   75;   77;  100;    4;   50;   11
  225;20170411;  249;   74;   79;  100;   19;   50;    1
  225;20170412;  259;   94;   98;  120;   12;   60;   23
  225;20170413;  289;   72;   77;  110;    4;   50;   24
  225;20170414;  242;   76;   80;  110;   22;   50;    1
  225;20170415;  283;  100;  103;  120;    1;   80;   18
  225;20170416;  297;   66;   68;  110;    9;   10;   23
  225;20170417;  355;   75;   80;  110;   16;   10;    1
  225;20170418;   23;   50;   65;   90;   16;   30;   12
  225;20170419;   57;   18;   29;   60;    1;   10;    8
  225;20170420;  221;   59;   65;   90;   14;   20;    1
  225;20170421;  266;   55;   69;   90;   15;   40;    7
  225;20170422;  334;   86;   87;  100;   15;   60;    1
  225;20170423;  293;   39;   65;   80;    1;   40;   14
  225;20170424;  244;   83;   92;  130;    4;   30;   20
  225;20170425;  300;   86;  100;  140;    5;   40;   22
  225;20170426;  357;   42;   54;   90;   15;   30;    1
  225;20170427;  268;   54;   66;  100;   21;   10;    5
  225;20170428;  319;   51;   53;   70;    1;   30;    4
  225;20170429;   19;   11;   42;   70;   19;   20;    7
  225;20170430;  104;   75;   76;  100;   16;   40;    2
  225;20170501;  128;   29;   45;   90;    1;   20;   17
  225;20170502;   41;   43;   52;   80;   16;   20;    2
  225;20170503;   63;   68;   71;   90;   12;   50;    1
  225;20170504;   60;  100;  101;  120;    9;   80;    1
  225;20170505;   68;   74;   77;  110;    5;   50;   22
  225;20170506;   66;   74;   78;  100;   12;   60;    1
  225;20170507;  345;   68;   71;   90;   24;   40;    2
  225;20170508;    2;   74;   80;  120;   16;   50;   10
  225;20170509;  352;   42;   47;   70;   15;   30;    3
  225;20170510;    3;   17;   39;   70;   18;   20;    1
  225;20170511;   89;   50;   56;   90;   10;   20;   22
  225;20170512;  175;   30;   36;   60;   11;   10;   15
  225;20170513;  204;   52;   57;   80;   17;   40;    1
  225;20170514;  210;   55;   63;  100;   14;   40;   19
  225;20170515;  202;   50;   55;   70;    3;   30;   13
  225;20170516;  200;   57;   58;   70;    2;   30;   15
  225;20170517;  155;   15;   37;   90;   24;   10;    5
  225;20170518;   13;   30;   63;  110;   23;   30;   11
  225;20170519;  215;   79;  101;  160;    8;   60;    4
  225;20170520;  217;   64;   67;   90;    9;   40;   20
  225;20170521;  169;    5;   48;   60;    8;   20;   14
  225;20170522;   79;   29;   46;   60;    1;   20;   24
  225;20170523;  287;   37;   47;   80;    5;   20;    2
  225;20170524;  303;   26;   35;   50;   13;   10;    6
  225;20170525;    9;   36;   45;   80;   23;   20;    4
  225;20170526;   90;   67;   68;  100;   16;   50;    4
  225;20170527;  168;   37;   54;   70;    8;   30;   15
  225;20170528;  272;   18;   47;   60;    7;   30;   15
  225;20170529;   64;   20;   49;   90;    7;   10;   18
  225;20170530;  233;   91;   92;  110;   11;   50;    1
  225;20170531;  340;   33;   45;   60;    1;   30;    7
  225;20170601;   26;   17;   33;   50;   14;   10;    5
  225;20170602;   18;   20;   30;   50;   14;    0;    6
  225;20170603;  283;   20;   44;   70;   13;   20;    1
  225;20170604;  250;   68;   71;   90;   13;   30;    1
  225;20170605;  219;   64;   75;  110;   12;   20;   19
  225;20170606;  216;  131;  148;  220;   14;   30;    3
  225;20170607;  244;  165;  168;  200;    1;  130;   16
  225;20170608;  214;   84;   90;  130;    1;   50;   22
  225;20170609;  237;   62;   80;  110;   14;   30;    2
  225;20170610;  218;   64;   65;   90;   10;   20;   15
  225;20170611;  228;   69;   77;  130;   24;   40;   10
  225;20170612;  255;  115;  116;  130;    1;   70;   22
  225;20170613;  294;   42;   48;   80;    1;   10;   24
  225;20170614;   51;   26;   42;   70;   15;   20;    1
  225;20170615;  224;   46;   68;  100;   12;   40;    3
  225;20170616;  290;   81;   86;  110;    5;   40;   20
  225;20170617;  274;   39;   44;   70;    1;   10;   18
  225;20170618;  350;    9;   34;   50;   18;   20;    1
  225;20170619;   22;   31;   40;   60;   18;   10;    7
  225;20170620;   60;   61;   63;   90;   18;   30;    2
  225;20170621;   86;   66;   68;  100;    4;   40;   23
  225;20170622;  234;   64;   85;  130;   21;   50;    1
  225;20170623;  241;   97;  101;  140;   22;   60;    8
  225;20170624;  234;  124;  125;  140;   24;  120;    1
  225;20170625;  257;   90;   97;  130;    1;   60;   13
  225;20170626;  334;   48;   60;  100;    2;   50;    9
  225;20170627;   82;   78;   78;  110;   24;   60;    1
  225;20170628;  198;   43;   83;  110;    1;   40;    7
  225;20170629;  230;   62;   63;  100;    1;   30;   16
  225;20170630;  266;   41;   52;  100;   24;   20;    6
  225;20170701;  339;   75;   90;  130;    7;   30;   21
  225;20170702;  289;   62;   73;  110;    4;   30;   21
  225;20170703;  232;   84;   95;  130;    9;   50;   24
  225;20170704;   28;   21;   33;   40;    1;   20;    5
  225;20170705;  333;   25;   40;   70;   17;   20;    1
  225;20170706;   94;   36;   47;   80;   24;   30;    2
  225;20170707;  251;   23;   38;   70;   16;   10;   23
  225;20170708;  329;   33;   45;   70;   14;   20;    1
  225;20170709;  351;   26;   40;   50;    2;   20;    7
  225;20170710;  224;   33;   52;   90;   20;   10;   10
  225;20170711;  237;   69;   75;  110;   21;   50;    5
  225;20170712;  359;   64;   84;  140;   12;   20;    6
  225;20170713;    4;   12;   28;   50;    1;   10;   24
  225;20170714;  290;   70;   83;  130;   14;   10;    1
  225;20170715;  241;   55;   68;  100;   20;   40;    7
  225;20170716;  257;   46;   63;  100;    1;   20;   21
  225;20170717;   10;   30;   36;   40;    1;   30;    3
  225;20170718;   82;   71;   71;  100;   18;   40;    1
  225;20170719;  133;   38;   68;  110;    4;   30;   13
  225;20170720;  230;   59;   68;  140;   17;   30;   23
  225;20170721;  160;   19;   53;   80;   21;   20;   16
  225;20170722;  202;   23;   47;   80;   11;   20;   17
  225;20170723;  228;   68;   73;  100;    9;   30;    1
  225;20170724;  351;   30;   52;   80;   15;   20;    8
  225;20170725;  339;   93;   94;  110;    7;   60;    5
  225;20170726;  243;   38;   66;  130;   23;   30;   17
  225;20170727;  247;   96;  100;  130;    1;   70;    9
  225;20170728;  232;  123;  131;  160;   17;  100;   23
  225;20170729;  224;   84;   92;  170;    4;   20;   19
  225;20170730;  225;   84;   95;  140;   10;   40;    1
  225;20170731;  225;   73;   77;  110;    3;   30;   23
  225;20170801;  216;   46;   51;   70;   19;   30;    1
  225;20170802;  211;   70;   78;  140;   17;   50;    1
  225;20170803;  223;  136;  143;  190;   15;   60;    2
  225;20170804;  243;  127;  130;  150;    1;  100;   21
  225;20170805;  285;   53;   56;  100;   24;   10;    5
  225;20170806;  250;   54;   64;  100;    1;   40;   22
  225;20170807;  206;   37;   58;   90;    9;   20;   18
  225;20170808;  319;   19;   66;  110;   20;   20;   11
