"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2016-12-31 23:00:00","2017-01-01 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1404696,1404696,0.46827873587608,0,0
"2017-01-01 00:00:00","2017-01-01 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1410959,1410959,0.47036623954773,0,0
"2017-01-01 01:00:00","2017-01-01 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1496816,1496816,0.49898651242256,0,0
"2017-01-01 02:00:00","2017-01-01 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1574779,1574779,0.52497524023056,0,0
"2017-01-01 03:00:00","2017-01-01 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1520823,1520823,0.50698673725128,0,0
"2017-01-01 04:00:00","2017-01-01 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1604193,1604193,0.5347775220871,0,0
"2017-01-01 05:00:00","2017-01-01 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1543655,1543655,0.51459473371506,0,0
"2017-01-01 06:00:00","2017-01-01 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1574854,1574854,0.52499347925186,0,0
"2017-01-01 07:00:00","2017-01-01 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1624520,1624520,0.54154872894287,0,0
"2017-01-01 08:00:00","2017-01-01 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1678644,1678644,0.55958998203278,0,0
"2017-01-01 09:00:00","2017-01-01 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1857474,1857474,0.61920249462128,0,0
"2017-01-01 10:00:00","2017-01-01 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1889774,1889774,0.62996822595596,0,0
"2017-01-01 11:00:00","2017-01-01 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1798489,1798489,0.5995357632637,0,0
"2017-01-01 12:00:00","2017-01-01 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1796714,1796714,0.59894222021103,0,0
"2017-01-01 13:00:00","2017-01-01 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1801577,1801577,0.60056149959564,0,0
"2017-01-01 14:00:00","2017-01-01 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1822326,1822326,0.60747647285461,0,0
"2017-01-01 15:00:00","2017-01-01 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1806963,1806963,0.60235297679901,0,0
"2017-01-01 16:00:00","2017-01-01 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1629613,1629613,0.54323202371597,0,0
"2017-01-01 17:00:00","2017-01-01 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1271117,1271117,0.4237257540226,0,0
"2017-01-01 18:00:00","2017-01-01 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,914158,914158,0.30473300814629,0,0
"2017-01-01 19:00:00","2017-01-01 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,624412,624412,0.20814600586891,0,0
"2017-01-01 20:00:00","2017-01-01 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,426862,426862,0.14229275286198,0,0
"2017-01-01 21:00:00","2017-01-01 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,248531,248531,0.082846626639366,0,0
