date,capacity (kW)
2021-01-01,4152084
2021-01-02,2156384
2021-01-03,29072794
2021-01-04,67513865
2021-01-05,43725308
2021-01-06,9042868
2021-01-07,9778379
2021-01-08,1618746
2021-01-09,3271041
2021-01-10,16073609
2021-01-11,68639443
2021-01-12,41584553
2021-01-13,41112953
2021-01-14,15315030
2021-01-15,2857727
2021-01-16,25207300
2021-01-17,12390397
2021-01-18,36964287
2021-01-19,83316226
2021-01-20,86132771
2021-01-21,77030543
2021-01-22,37301160
2021-01-23,20041297
2021-01-24,6100827
2021-01-25,21046692
2021-01-26,24859197
2021-01-27,29609259
2021-01-28,17457318
2021-01-29,53543434
2021-01-30,40523298
2021-01-31,19708284
2021-02-01,11014713
2021-02-02,18048040
2021-02-03,20071470
2021-02-04,14772150
2021-02-05,20266409
2021-02-06,70024304
2021-02-07,87348298
2021-02-08,72809173
2021-02-09,26543979
2021-02-10,10910794
2021-02-11,2642442
2021-02-12,36722846
2021-02-13,28105266
2021-02-14,43679807
2021-02-15,45839127
2021-02-16,33002990
2021-02-17,48894208
2021-02-18,48491446
2021-02-19,38670538
2021-02-20,44033519
2021-02-21,14629883
2021-02-22,17782951
2021-02-23,33058665
2021-02-24,40881723
2021-02-25,17042666
2021-02-26,11302078
2021-02-27,682985
2021-02-28,5856670
2021-03-01,19722633
2021-03-02,7935076
2021-03-03,3315706
2021-03-04,14781307
2021-03-05,11264273
2021-03-06,2798552
2021-03-07,8595646
2021-03-08,10548456
2021-03-09,13378123
2021-03-10,52022102
2021-03-11,81734377
2021-03-12,83601789
2021-03-13,86485155
2021-03-14,51980610
2021-03-15,58564801
2021-03-16,17136075
2021-03-17,28599800
2021-03-18,14472162
2021-03-19,25487999
2021-03-20,12494776
2021-03-21,49613266
2021-03-22,8310236
2021-03-23,12836668
2021-03-24,18070504
2021-03-25,19524493
2021-03-26,57004244
2021-03-27,64349396
2021-03-28,73237354
2021-03-29,56812333
2021-03-30,4294907
2021-03-31,485265
2021-04-01,35057254
2021-04-02,40879525
2021-04-03,39771621
2021-04-04,29422525
2021-04-05,83578184
2021-04-06,63308973
2021-04-07,66693683
2021-04-08,43645056
2021-04-09,35962009
2021-04-10,44418342
2021-04-11,49410559
2021-04-12,24082164
2021-04-13,17565460
2021-04-14,14456254
2021-04-15,11492121
2021-04-16,23393276
2021-04-17,23736133
2021-04-18,7215225
2021-04-19,5275917
2021-04-20,3285226
2021-04-21,38395046
2021-04-22,26724393
2021-04-23,7449458
2021-04-24,27381247
2021-04-25,25232241
2021-04-26,18852688
2021-04-27,17482923
2021-04-28,34220525
2021-04-29,42039562
2021-04-30,3402251
2021-05-01,15019640
2021-05-02,33207027
2021-05-03,44922357
2021-05-04,94841134
2021-05-05,72001751
2021-05-06,8606468
2021-05-07,26088562
2021-05-08,38116603
2021-05-09,24837228
2021-05-10,35210663
2021-05-11,6214864
2021-05-12,10544991
2021-05-13,10920204
2021-05-14,3353683
2021-05-15,3334260
2021-05-16,16080133
2021-05-17,16117698
2021-05-18,12026890
2021-05-19,8087273
2021-05-20,28810325
2021-05-21,85810425
2021-05-22,71727162
2021-05-23,32003597
2021-05-24,32383743
2021-05-25,36710376
2021-05-26,51866555
2021-05-27,45304477
2021-05-28,3928825
2021-05-29,10385363
2021-05-30,12516024
2021-05-31,10518934
2021-06-01,20753930
2021-06-02,11380993
2021-06-03,11332211
2021-06-04,6596890
2021-06-05,16233748
2021-06-06,14946241
2021-06-07,8938360
2021-06-08,1870546
2021-06-09,5920331
2021-06-10,5172663
2021-06-11,17547944
2021-06-12,32087238
2021-06-13,1897967
2021-06-14,14680440
2021-06-15,4941925
2021-06-16,4649245
2021-06-17,20026881
2021-06-18,19655759
2021-06-19,26560694
2021-06-20,22383729
2021-06-21,40941724
2021-06-22,28017388
2021-06-23,8671711
2021-06-24,1772964
2021-06-25,11798017
2021-06-26,5933253
2021-06-27,28844896
2021-06-28,6937850
2021-06-29,18868220
2021-06-30,15158064
2021-07-01,22095408
2021-07-02,3966527
2021-07-03,4708654
2021-07-04,2082552
2021-07-05,16561802
2021-07-06,65456117
2021-07-07,26227389
2021-07-08,4833759
2021-07-09,3957824
2021-07-10,1236325
2021-07-11,4321262
2021-07-12,4342276
2021-07-13,21919956
2021-07-14,49317143
2021-07-15,63264064
2021-07-16,27857191
2021-07-17,21726799
2021-07-18,14814521
2021-07-19,8136028
2021-07-20,2062136
2021-07-21,2203252
2021-07-22,8775193
2021-07-23,7356418
2021-07-24,16426628
2021-07-25,5735730
2021-07-26,8205702
2021-07-27,18585914
2021-07-28,59494054
2021-07-29,73058063
2021-07-30,34768548
2021-07-31,63369580
2021-08-01,13792577
2021-08-02,10303334
2021-08-03,2639156
2021-08-04,4893421
2021-08-05,4283975
2021-08-06,48995844
2021-08-07,30152995
2021-08-08,73766701
2021-08-09,47691104
2021-08-10,22490101
2021-08-11,6941042
2021-08-12,8332916
2021-08-13,34215222
2021-08-14,27142729
2021-08-15,30190505
2021-08-16,67051877
2021-08-17,35041605
2021-08-18,31868716
2021-08-19,14831116
2021-08-20,7197945
2021-08-21,1566929
2021-08-22,25327610
2021-08-23,35991492
2021-08-24,18416118
2021-08-25,21008735
2021-08-26,37366445
2021-08-27,43968259
2021-08-28,45853647
2021-08-29,35995435
2021-08-30,32742510
2021-08-31,22387589
2021-09-01,3811859
2021-09-02,3138347
2021-09-03,11451730
2021-09-04,15746990
2021-09-05,7169167
2021-09-06,24002
2021-09-07,1360485
2021-09-08,8408769
2021-09-09,7087314
2021-09-10,7649465
2021-09-11,28536285
2021-09-12,12228141
2021-09-13,2358401
2021-09-14,11042184
2021-09-15,18891904
2021-09-16,22898799
2021-09-17,2195380
2021-09-18,3991584
2021-09-19,22339521
2021-09-20,13438793
2021-09-21,8762611
2021-09-22,15379520
2021-09-23,50886529
2021-09-24,41820281
2021-09-25,6034883
2021-09-26,5702401
2021-09-27,39916354
2021-09-28,22733594
2021-09-29,52905595
2021-09-30,64396936
2021-10-01,69871899
2021-10-02,45676299
2021-10-03,44503401
2021-10-04,58322518
2021-10-05,59873047
2021-10-06,44834233
2021-10-07,1900015
2021-10-08,2623945
2021-10-09,5600957
2021-10-10,3526299
2021-10-11,19240502
2021-10-12,27550973
2021-10-13,14872936
2021-10-14,41983863
2021-10-15,35893336
2021-10-16,11058693
2021-10-17,22711835
2021-10-18,20877237
2021-10-19,58184503
2021-10-20,83345037
2021-10-21,74050668
2021-10-22,65045016
2021-10-23,9863418
2021-10-24,18297715
2021-10-25,28400345
2021-10-26,48940321
2021-10-27,60222746
2021-10-28,33917079
2021-10-29,64031920
2021-10-30,42676102
2021-10-31,50104543
2021-11-01,74384627
2021-11-02,11136175
2021-11-03,748498
2021-11-04,5911455
2021-11-05,14264769
2021-11-06,72886122
2021-11-07,65797310
2021-11-08,11170305
2021-11-09,30458052
2021-11-10,11757108
2021-11-11,6598887
2021-11-12,40775098
2021-11-13,14390156
2021-11-14,12417667
2021-11-15,8310404
2021-11-16,4168729
2021-11-17,32451163
2021-11-18,48518119
2021-11-19,35320326
2021-11-20,31638908
2021-11-21,26455288
2021-11-22,6496631
2021-11-23,4166439
2021-11-24,8284341
2021-11-25,13957059
2021-11-26,50928664
2021-11-27,14976337
2021-11-28,11826911
2021-11-29,26301878
2021-11-30,69926964
2021-12-01,93933169
2021-12-02,21975612
2021-12-03,70754803
2021-12-04,22407763
2021-12-05,14772230
2021-12-06,36445765
2021-12-07,53724369
2021-12-08,70214862
2021-12-09,37726444
2021-12-10,22677587
2021-12-11,14333946
2021-12-12,48137646
2021-12-13,30157326
2021-12-14,27665308
