date,Orange Model - Predicted Wind Power (kWh),Actual Energy created (kWh)
2022-01-01,25395300,52426429
2022-01-02,42542000,90462445
2022-01-03,42318000,91356061
2022-01-04,20342300,31857845
2022-01-05,37900700,82969962
2022-01-06,11895500,32129473
2022-01-07,24560000,68788528
2022-01-08,22984200,63670564
2022-01-09,23374400,44554725
2022-01-10,2625550,2917080
2022-01-11,8218810,20457320
2022-01-12,2254690,6631363
2022-01-13,8960130,25341023
2022-01-14,1804550,6350031
2022-01-15,1908540,11145094
2022-01-16,14379500,35472164
2022-01-17,15847600,41698971
2022-01-18,3089120,8452938
2022-01-19,26316000,42145583
2022-01-20,32770700,66424980
2022-01-21,17906000,32182310
2022-01-22,6268810,12682864
2022-01-23,528019,689437
2022-01-24,393748,496717
2022-01-25,445559,1817465
2022-01-26,14523900,39411626
2022-01-27,36027800,90256391
2022-01-28,19694900,41317533
2022-01-29,48530000,104282220
2022-01-30,22983300,54720860
2022-01-31,62114900,92111225
2022-02-01,37217800,88222976
2022-02-02,16141900,47223750
2022-02-03,22023600,57076379
2022-02-04,41605700,90001481
2022-02-05,49048800,92904722
2022-02-06,56641900,110041380
2022-02-07,35188300,81228181
2022-02-08,43021900,89036038
2022-02-09,23671700,58635375
2022-02-10,11202500,24552536
2022-02-11,23149800,55493204
2022-02-12,25435500,54026824
2022-02-13,44452200,91635032
2022-02-14,44538100,100724680
2022-02-15,33611000,75675931
2022-02-16,60648400,95229705
2022-02-17,54132200,93011100
2022-02-18,64766000,46476749
2022-02-19,53183500,104606406
2022-02-20,63806400,91828883
2022-02-21,59378200,103750153
2022-02-22,39964200,74996977
2022-02-23,25230100,66353676
2022-02-24,45614200,92713781
2022-02-25,34708300,71625448
2022-02-26,3178680,6554986
2022-02-27,17760200,36970179
2022-02-28,10520000,26205947
2022-03-01,1023440,3081035
2022-03-02,4421250,15835589
2022-03-03,4284170,24322039
2022-03-04,6287900,25202098
2022-03-05,6379710,19551558
2022-03-06,14237700,34374484
2022-03-07,3062670,16864089
2022-03-08,16549000,40214992
2022-03-09,7748900,15848526
2022-03-10,8754970,19420437
2022-03-11,27078300,73974650
2022-03-12,16011700,43943666
2022-03-13,14796500,38433410
2022-03-14,6586450,24094276
2022-03-15,1055230,2235793
2022-03-16,13130000,39760766
2022-03-17,12914500,50811314
2022-03-18,3329370,15381167
2022-03-19,24728400,68950030
2022-03-20,10651900,52450619
2022-03-21,1560430,3427228
2022-03-22,735994,1929372
2022-03-23,788404,2709897
2022-03-24,560761,2876937
2022-03-25,1928210,7431475
2022-03-26,4461280,15735890
2022-03-27,5227840,14390510
2022-03-28,1017470,4237584
2022-03-29,3747940,10400878
2022-03-30,8064400,24987698
2022-03-31,40706800,67639756
2022-04-01,53511800,98567429
2022-04-02,17132700,46575101
2022-04-03,9592650,19620261
2022-04-04,51240100,95636112
2022-04-05,21224800,58292330
2022-04-06,57947400,108200375
2022-04-07,59391400,112905348
2022-04-08,17569700,57849555
2022-04-09,26623900,69030738
2022-04-10,3685080,19664055
2022-04-11,8480160,27665946
2022-04-12,8862440,26738235
2022-04-13,3766760,9712034
2022-04-14,2265820,11275142
2022-04-15,3493230,9350542
2022-04-16,6602200,26212077
2022-04-17,5149580,17270480
2022-04-18,2733100,9215534
2022-04-19,7184570,30350615
2022-04-20,9623620,42138852
2022-04-21,14146700,51713024
2022-04-22,26453500,72198200
2022-04-23,33113400,85484526
2022-04-24,25121000,78443077
2022-04-25,16468200,38116386
2022-04-26,10442200,37224999
2022-04-27,2377730,5774790
2022-04-28,7478510,18469428
2022-04-29,9854750,29831207
2022-04-30,6577170,9650353
2022-05-01,565507,2629774
2022-05-02,2544340,9997463
2022-05-03,5479370,14963378
2022-05-04,893516,1410328
2022-05-05,1259630,3143715
2022-05-06,3457060,8892176
2022-05-07,7675790,23727088
2022-05-08,9647820,22912593
2022-05-09,1065670,2830115
2022-05-10,16180300,52486957
2022-05-11,26885100,75444298
2022-05-12,15340100,43933410
2022-05-13,27017500,71461736
2022-05-14,2282240,9049569
2022-05-15,9044640,27699815
2022-05-16,12348600,40965575
2022-05-17,3242420,8769582
2022-05-18,3372730,9019115
2022-05-19,5517310,18815185
2022-05-20,5730690,25280080
2022-05-21,14866600,51148820
2022-05-22,644220,5488945
2022-05-23,6426520,22385333
2022-05-24,19968400,59256481
2022-05-25,34195700,72941083
2022-05-26,30997600,79169379
2022-05-27,25700300,75184752
2022-05-28,23557200,64283806
2022-05-29,15007200,32982165
2022-05-30,709749,2133090
2022-05-31,1174880,3936778
2022-06-01,5358390,19057102
2022-06-02,4302640,8130029
2022-06-03,17419300,47882668
2022-06-04,24203600,64734611
2022-06-05,13492300,40904839
2022-06-06,25514500,80860314
2022-06-07,13174900,48599227
2022-06-08,8094350,24414458
2022-06-09,9831190,33747730
2022-06-10,13171300,37231768
2022-06-11,18107700,37168274
2022-06-12,9727710,27925385
2022-06-13,10244400,37659882
2022-06-14,2606070,4298562
2022-06-15,5000200,12135413
2022-06-16,529239,2193461
2022-06-17,7805350,23381669
2022-06-18,8429250,29614703
2022-06-19,10909500,33805667
2022-06-20,10114400,35526197
2022-06-21,1051010,3399139
2022-06-22,4233260,14764700
2022-06-23,2727460,13146338
2022-06-24,2599410,9309586
2022-06-25,4087060,14163219
2022-06-26,3705680,10547129
2022-06-27,1854250,5912531
2022-06-28,1717020,11300654
2022-06-29,2871510,12782304
2022-06-30,7199980,22916498
2022-07-01,17170400,45083671
2022-07-02,6043960,22218509
2022-07-03,6061910,18132517
2022-07-04,7209220,26141463
2022-07-05,10980000,28477931
2022-07-06,10937500,29860928
2022-07-07,26100000,73518367
2022-07-08,5558010,16745596
2022-07-09,16352800,40843733
2022-07-10,10632900,26857359
2022-07-11,2349310,4322950
2022-07-12,2203500,6182038
2022-07-13,8182440,23218420
2022-07-14,8862530,19437002
2022-07-15,9201450,19239367
2022-07-16,10006700,28371938
2022-07-17,353856,1246424
2022-07-18,539438,2487967
2022-07-19,3678350,9669421
2022-07-20,12850000,35323409
2022-07-21,13709300,26137695
2022-07-22,3481690,4828806
2022-07-23,678933,2007788
2022-07-24,8658470,30147950
2022-07-25,22383300,57380910
2022-07-26,19485200,31561196
2022-07-27,7320590,17402466
2022-07-28,10274200,30014434
2022-07-29,7224640,17026833
2022-07-30,2201530,6617509
2022-07-31,16246300,36887632
2022-08-01,4250130,9596489
2022-08-02,15159600,44051560
2022-08-03,9887010,27307311
2022-08-04,4173960,13380910
2022-08-05,9641430,31289139
2022-08-06,4089520,6990676
2022-08-07,1964630,6132490
2022-08-08,5047710,10332787
2022-08-09,7178790,21423910
2022-08-10,6118910,19196829
2022-08-11,6871870,16893459
2022-08-12,7922010,16226043
2022-08-13,3466370,11468114
2022-08-14,3780350,10882117
2022-08-15,2544910,9669124
2022-08-16,3583540,12804958
2022-08-17,5730020,16579689
2022-08-18,1064800,5244883
2022-08-19,4507460,11291739
2022-08-20,4952240,12309696
2022-08-21,5490940,17874450
2022-08-22,749564,6837138
2022-08-23,1888810,3380542
2022-08-24,2868720,5280392
2022-08-25,11508300,22494451
2022-08-26,16101000,35607104
2022-08-27,7231630,23038270
2022-08-28,9175540,31374900
2022-08-29,4104390,13326592
2022-08-30,13281800,43160509
2022-08-31,23189000,59404799
2022-09-01,13490600,35579395
2022-09-02,9387420,35015547
2022-09-03,4804210,30413798
2022-09-04,1150570,8128841
2022-09-05,2908060,11718348
2022-09-06,1634110,11814021
2022-09-07,3684680,10953021
2022-09-08,5579760,17048710
2022-09-09,19231400,40882712
2022-09-10,9952520,14239634
2022-09-11,597356,97738
2022-09-12,4933240,13429457
2022-09-13,8667950,10243235
2022-09-14,2428680,4421944
2022-09-15,21502500,37973500
2022-09-16,24929800,59979142
2022-09-17,34527100,68433888
2022-09-18,25228200,52976844
2022-09-19,21223000,40506506
2022-09-20,9507360,8308079
2022-09-21,339355,11129
2022-09-22,1776250,3386038
2022-09-23,3032170,7406457
2022-09-24,10581400,29941976
2022-09-25,7905140,7963532
2022-09-26,29425400,69477047
2022-09-27,13407100,25165705
2022-09-28,2307920,4319264
2022-09-29,447308,549236
2022-09-30,15482400,48668809
2022-10-01,36875400,77617310
2022-10-02,14002900,34740065
2022-10-03,2418690,2877318
2022-10-04,16558100,42364661
2022-10-05,48736500,99934128
2022-10-06,24337000,59536075
2022-10-07,33545400,65036067
2022-10-08,14670700,38213592
2022-10-09,3696420,15404852
2022-10-10,12680300,28170975
2022-10-11,1232740,3718796
2022-10-12,2964080,6019788
2022-10-13,2536080,9041591
2022-10-14,5291910,9642654
2022-10-15,17486300,43524452
2022-10-16,18784100,52224784
2022-10-17,10520900,29972451
2022-10-18,2392440,9617586
2022-10-19,14763500,38040146
2022-10-20,14109600,34408994
2022-10-21,7726690,14237958
