date,Energy created (kW)
2022-01-01,52426429
2022-01-02,90462445
2022-01-03,91356061
2022-01-04,31857845
2022-01-05,82969962
2022-01-06,32129473
2022-01-07,68788528
2022-01-08,63670564
2022-01-09,44554725
2022-01-10,2917080
2022-01-11,20457320
2022-01-12,6631363
2022-01-13,25341023
2022-01-14,6350031
2022-01-15,11145094
2022-01-16,35472164
2022-01-17,41698971
2022-01-18,8452938
2022-01-19,42145583
2022-01-20,66424980
2022-01-21,32182310
2022-01-22,12682864
2022-01-23,689437
2022-01-24,496717
2022-01-25,1817465
2022-01-26,39411626
2022-01-27,90256391
2022-01-28,41317533
2022-01-29,104282220
2022-01-30,54720860
2022-01-31,92111225
2022-02-01,88222976
2022-02-02,47223750
2022-02-03,57076379
2022-02-04,90001481
2022-02-05,92904722
2022-02-06,110041380
2022-02-07,81228181
2022-02-08,89036038
2022-02-09,58635375
2022-02-10,24552536
2022-02-11,55493204
2022-02-12,54026824
2022-02-13,91635032
2022-02-14,100724680
2022-02-15,75675931
2022-02-16,95229705
2022-02-17,93011100
2022-02-18,46476749
2022-02-19,104606406
2022-02-20,91828883
2022-02-21,103750153
2022-02-22,74996977
2022-02-23,66353676
2022-02-24,92713781
2022-02-25,71625448
2022-02-26,6554986
2022-02-27,36970179
2022-02-28,26205947
2022-03-01,3081035
2022-03-02,15835589
2022-03-03,24322039
2022-03-04,25202098
2022-03-05,19551558
2022-03-06,34374484
2022-03-07,16864089
2022-03-08,40214992
2022-03-09,15848526
2022-03-10,19420437
2022-03-11,73974650
2022-03-12,43943666
2022-03-13,38433410
2022-03-14,24094276
2022-03-15,2235793
2022-03-16,39760766
2022-03-17,50811314
2022-03-18,15381167
2022-03-19,68950030
2022-03-20,52450619
2022-03-21,3427228
2022-03-22,1929372
2022-03-23,2709897
2022-03-24,2876937
2022-03-25,7431475
2022-03-26,15735890
2022-03-27,14390510
2022-03-28,4237584
2022-03-29,10400878
2022-03-30,24987698
2022-03-31,67639756
2022-04-01,98567429
2022-04-02,46575101
2022-04-03,19620261
2022-04-04,95636112
2022-04-05,58292330
2022-04-06,108200375
2022-04-07,112905348
2022-04-08,57849555
2022-04-09,69030738
2022-04-10,19664055
2022-04-11,27665946
2022-04-12,26738235
2022-04-13,9712034
2022-04-14,11275142
2022-04-15,9350542
2022-04-16,26212077
2022-04-17,17270480
2022-04-18,9215534
2022-04-19,30350615
2022-04-20,42138852
2022-04-21,51713024
2022-04-22,72198200
2022-04-23,85484526
2022-04-24,78443077
2022-04-25,38116386
2022-04-26,37224999
2022-04-27,5774790
2022-04-28,18469428
2022-04-29,29831207
2022-04-30,9650353
2022-05-01,2629774
2022-05-02,9997463
2022-05-03,14963378
2022-05-04,1410328
2022-05-05,3143715
2022-05-06,8892176
2022-05-07,23727088
2022-05-08,22912593
2022-05-09,2830115
2022-05-10,52486957
2022-05-11,75444298
2022-05-12,43933410
2022-05-13,71461736
2022-05-14,9049569
2022-05-15,27699815
2022-05-16,40965575
2022-05-17,8769582
2022-05-18,9019115
2022-05-19,18815185
2022-05-20,25280080
2022-05-21,51148820
2022-05-22,5488945
2022-05-23,22385333
2022-05-24,59256481
2022-05-25,72941083
2022-05-26,79169379
2022-05-27,75184752
2022-05-28,64283806
2022-05-29,32982165
2022-05-30,2133090
2022-05-31,3936778
2022-06-01,19057102
2022-06-02,8130029
2022-06-03,47882668
2022-06-04,64734611
2022-06-05,40904839
2022-06-06,80860314
2022-06-07,48599227
2022-06-08,24414458
2022-06-09,33747730
2022-06-10,37231768
2022-06-11,37168274
2022-06-12,27925385
2022-06-13,37659882
2022-06-14,4298562
2022-06-15,12135413
2022-06-16,2193461
2022-06-17,23381669
2022-06-18,29614703
2022-06-19,33805667
2022-06-20,35526197
2022-06-21,3399139
2022-06-22,14764700
2022-06-23,13146338
2022-06-24,9309586
2022-06-25,14163219
2022-06-26,10547129
2022-06-27,5912531
2022-06-28,11300654
2022-06-29,12782304
2022-06-30,22916498
2022-07-01,45083671
2022-07-02,22218509
2022-07-03,18132517
2022-07-04,26141463
2022-07-05,28477931
2022-07-06,29860928
2022-07-07,73518367
2022-07-08,16745596
2022-07-09,40843733
2022-07-10,26857359
2022-07-11,4322950
2022-07-12,6182038
2022-07-13,23218420
2022-07-14,19437002
2022-07-15,19239367
2022-07-16,28371938
2022-07-17,1246424
2022-07-18,2487967
2022-07-19,9669421
2022-07-20,35323409
2022-07-21,26137695
2022-07-22,4828806
2022-07-23,2007788
2022-07-24,30147950
2022-07-25,57380910
2022-07-26,31561196
2022-07-27,17402466
2022-07-28,30014434
2022-07-29,17026833
2022-07-30,6617509
2022-07-31,36887632
2022-08-01,9596489
2022-08-02,44051560
2022-08-03,27307311
2022-08-04,13380910
2022-08-05,31289139
2022-08-06,6990676
2022-08-07,6132490
2022-08-08,10332787
2022-08-09,21423910
2022-08-10,19196829
2022-08-11,16893459
2022-08-12,16226043
2022-08-13,11468114
2022-08-14,10882117
2022-08-15,9669124
2022-08-16,12804958
