"validfrom (UTC)","validto (UTC)",point,type,granularity,timezone,activity,classification,"capacity (kW)","volume (kWh)",percentage,"emission (kg CO2)","emissionfactor (kg CO2/kWh)"
"2021-12-31 23:00:00","2022-01-01 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2031012,2031015,0.42498516666667,0,0
"2022-01-01 00:00:00","2022-01-01 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1864853,1864849,0.39020966666667,0,0
"2022-01-01 01:00:00","2022-01-01 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1784509,1784513,0.373391,0,0
"2022-01-01 02:00:00","2022-01-01 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1874075,1874074,0.3921245,0,0
"2022-01-01 03:00:00","2022-01-01 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1711229,1711229,0.35804433333333,0,0
"2022-01-01 04:00:00","2022-01-01 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1624740,1624742,0.33994183333333,0,0
"2022-01-01 05:00:00","2022-01-01 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1481393,1481396,0.309944,0,0
"2022-01-01 06:00:00","2022-01-01 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1282585,1282585,0.2683435,0,0
"2022-01-01 07:00:00","2022-01-01 08:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1181635,1181631,0.24721783333333,0,0
"2022-01-01 08:00:00","2022-01-01 09:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1374722,1374721,0.28760966666667,0,0
"2022-01-01 09:00:00","2022-01-01 10:00:00",Nederland,Wind,Hour,UTC,Providing,Current,1758180,1758180,0.36782716666667,0,0
"2022-01-01 10:00:00","2022-01-01 11:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2062242,2062247,0.43143166666667,0,0
"2022-01-01 11:00:00","2022-01-01 12:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2418868,2418866,0.50603,0,0
"2022-01-01 12:00:00","2022-01-01 13:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2622386,2622387,0.54859616666667,0,0
"2022-01-01 13:00:00","2022-01-01 14:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2969753,2969751,0.62125266666667,0,0
"2022-01-01 14:00:00","2022-01-01 15:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2823534,2823536,0.59065416666667,0,0
"2022-01-01 15:00:00","2022-01-01 16:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2676185,2676187,0.55981933333333,0,0
"2022-01-01 16:00:00","2022-01-01 17:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2664166,2664172,0.55729483333333,0,0
"2022-01-01 17:00:00","2022-01-01 18:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2658449,2658448,0.55608833333333,0,0
"2022-01-01 18:00:00","2022-01-01 19:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2746414,2746410,0.57447816666667,0,0
"2022-01-01 19:00:00","2022-01-01 20:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2895727,2895729,0.60569916666667,0,0
"2022-01-01 20:00:00","2022-01-01 21:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2885579,2885583,0.60356533333333,0,0
"2022-01-01 21:00:00","2022-01-01 22:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2518804,2518804,0.526839,0,0
"2022-01-01 22:00:00","2022-01-01 23:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2281796,2281798,0.47725683333333,0,0
"2022-01-01 23:00:00","2022-01-02 00:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2264596,2264591,0.47365033333333,0,0
"2022-01-02 00:00:00","2022-01-02 01:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2467679,2467680,0.5161165,0,0
"2022-01-02 01:00:00","2022-01-02 02:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2803658,2803661,0.58637566666667,0,0
"2022-01-02 02:00:00","2022-01-02 03:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2869962,2869963,0.60023166666667,0,0
"2022-01-02 03:00:00","2022-01-02 04:00:00",Nederland,Wind,Hour,UTC,Providing,Current,2896931,2896934,0.60586133333333,0,0
"2022-01-02 04:00:00","2022-01-02 05:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3184214,3184211,0.66593083333333,0,0
"2022-01-02 05:00:00","2022-01-02 06:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3357231,3357229,0.70210116666667,0,0
"2022-01-02 06:00:00","2022-01-02 07:00:00",Nederland,Wind,Hour,UTC,Providing,Current,3498877,3498878,0.73171066666667,0,0
