date,Random Forest,avg_wind_speed_all_stations,vector_avg_wind_speed_all_stations,avg_wind_direction,avg_wind_speed_cubed
time,continuous,continuous,continuous,continuous,continuous
meta,meta,,,,
2022-01-01,2.53953e+07,7.05442,6.85321,210.831,351.062
2022-01-02,4.2542e+07,9.18525,8.86637,229.843,774.949
2022-01-03,4.2318e+07,9.25733,9.19753,237.868,793.337
2022-01-04,2.03423e+07,6.0245,4.61158,285.452,218.657
2022-01-05,3.79007e+07,9.96008,9.40396,301.92,988.073
2022-01-06,1.18955e+07,5.6495,3.44271,234.909,180.314
2022-01-07,2.456e+07,7.16783,6.37578,237.055,368.268
2022-01-08,2.29842e+07,7.28858,5.08176,211.682,387.195
2022-01-09,2.33744e+07,6.66858,6.40152,286.294,296.552
2022-01-10,2.62555e+06,3.08417,2.94854,186.605,29.3369
2022-01-11,8.21881e+06,4.76967,4.56575,190.467,108.509
2022-01-12,2.25469e+06,2.96017,2.0189,256.326,25.9387
2022-01-13,8.96013e+06,4.63108,4.4603,249.261,99.3225
2022-01-14,1.80455e+06,2.89808,2.19781,272.127,24.3407
2022-01-15,1.90854e+06,3.2825,2.9381,172.498,35.3683
2022-01-16,1.43795e+07,5.90875,5.25245,269.692,206.294
2022-01-17,1.58476e+07,5.73517,5.34437,303.535,188.642
2022-01-18,3.08912e+06,3.10017,2.53864,236.84,29.7958
2022-01-19,2.6316e+07,6.27742,4.10939,270.71,247.368
2022-01-20,3.27707e+07,8.93917,8.79614,338.647,714.317
2022-01-21,1.7906e+07,6.37808,6.09892,318.488,259.46
2022-01-22,6.26881e+06,4.03025,3.94797,299.014,65.463
2022-01-23,528019,2.17475,1.77335,216.16,10.2856
2022-01-24,393748,1.86967,1.1692,164.138,6.53571
2022-01-25,445559,1.86192,1.04572,202.508,6.45477
2022-01-26,1.45239e+07,5.62458,5.26874,247.845,177.939
2022-01-27,3.60278e+07,8.94142,7.83701,275.543,714.857
2022-01-28,1.96949e+07,5.9925,4.61637,268.452,215.191
2022-01-29,4.853e+07,10.0487,9.2893,265.688,1014.67
2022-01-30,2.29833e+07,6.79908,5.23051,289.469,314.305
2022-01-31,6.21149e+07,12.5607,11.1492,310.332,1981.7
2022-02-01,3.72178e+07,9.21917,8.69722,282.574,783.565
2022-02-02,1.61419e+07,5.94025,5.25046,281.615,209.611
2022-02-03,2.20236e+07,6.60317,6.48416,227.262,287.91
2022-02-04,4.16057e+07,9.26867,7.7639,251.466,796.254
2022-02-05,4.90488e+07,10.1822,9.64171,248.25,1055.68
2022-02-06,5.66419e+07,11.9546,10.8769,263.504,1708.45
2022-02-07,3.51883e+07,8.44667,7.09684,282.404,602.637
2022-02-08,4.30219e+07,8.52892,8.46908,241.507,620.414
2022-02-09,2.36717e+07,6.86292,6.74199,234.561,323.241
2022-02-10,1.12025e+07,5.18825,4.8225,265.671,139.657
2022-02-11,2.31498e+07,6.56,5.40709,305.218,282.3
2022-02-12,2.54355e+07,6.55925,6.50792,186.233,282.204
