date,Orange Model - Predicted Wind Power (kWh)
2022-01-01,50790600
2022-01-02,85084000
2022-01-03,84636000
2022-01-04,40684600
2022-01-05,75801400
2022-01-06,23791000
2022-01-07,49120000
2022-01-08,45968400
2022-01-09,46748800
2022-01-10,5251100
2022-01-11,16437620
2022-01-12,4509380
2022-01-13,17920260
2022-01-14,3609100
2022-01-15,3817080
2022-01-16,28759000
2022-01-17,31695200
2022-01-18,6178240
2022-01-19,52632000
2022-01-20,65541400
2022-01-21,35812000
2022-01-22,12537620
2022-01-23,1056038
2022-01-24,787496
2022-01-25,891118
2022-01-26,29047800
2022-01-27,72055600
2022-01-28,39389800
2022-01-29,97060000
2022-01-30,45966600
2022-01-31,124229800
2022-02-01,74435600
2022-02-02,32283800
2022-02-03,44047200
2022-02-04,83211400
2022-02-05,98097600
2022-02-06,113283800
2022-02-07,70376600
2022-02-08,86043800
2022-02-09,47343400
2022-02-10,22405000
2022-02-11,46299600
2022-02-12,50871000
2022-02-13,88904400
2022-02-14,89076200
2022-02-15,67222000
2022-02-16,121296800
2022-02-17,108264400
2022-02-18,129532000
2022-02-19,106367000
2022-02-20,127612800
2022-02-21,118756400
2022-02-22,79928400
2022-02-23,50460200
2022-02-24,91228400
2022-02-25,69416600
2022-02-26,6357360
2022-02-27,35520400
2022-02-28,21040000
2022-03-01,2046880
2022-03-02,8842500
2022-03-03,8568340
2022-03-04,12575800
2022-03-05,12759420
2022-03-06,28475400
2022-03-07,6125340
2022-03-08,33098000
2022-03-09,15497800
2022-03-10,17509940
2022-03-11,54156600
2022-03-12,32023400
2022-03-13,29593000
2022-03-14,13172900
2022-03-15,2110460
2022-03-16,26260000
2022-03-17,25829000
2022-03-18,6658740
2022-03-19,49456800
2022-03-20,21303800
2022-03-21,3120860
2022-03-22,1471988
2022-03-23,1576808
2022-03-24,1121522
2022-03-25,3856420
2022-03-26,8922560
2022-03-27,10455680
2022-03-28,2034940
2022-03-29,7495880
2022-03-30,16128800
2022-03-31,81413600
2022-04-01,107023600
2022-04-02,34265400
2022-04-03,19185300
2022-04-04,102480200
2022-04-05,42449600
2022-04-06,115894800
2022-04-07,118782800
2022-04-08,35139400
2022-04-09,53247800
2022-04-10,7370160
2022-04-11,16960320
2022-04-12,17724880
2022-04-13,7533520
2022-04-14,4531640
2022-04-15,6986460
2022-04-16,13204400
2022-04-17,10299160
2022-04-18,5466200
2022-04-19,14369140
2022-04-20,19247240
2022-04-21,28293400
2022-04-22,52907000
2022-04-23,66226800
2022-04-24,50242000
2022-04-25,32936400
2022-04-26,20884400
2022-04-27,4755460
2022-04-28,14957020
2022-04-29,19709500
2022-04-30,13154340
2022-05-01,1131014
2022-05-02,5088680
2022-05-03,10958740
2022-05-04,1787032
2022-05-05,2519260
2022-05-06,6914120
2022-05-07,15351580
2022-05-08,19295640
2022-05-09,2131340
2022-05-10,32360600
2022-05-11,53770200
2022-05-12,30680200
2022-05-13,54035000
2022-05-14,4564480
2022-05-15,18089280
2022-05-16,24697200
2022-05-17,6484840
2022-05-18,6745460
2022-05-19,11034620
2022-05-20,11461380
2022-05-21,29733200
2022-05-22,1288440
2022-05-23,12853040
2022-05-24,39936800
2022-05-25,68391400
2022-05-26,61995200
2022-05-27,51400600
2022-05-28,47114400
2022-05-29,30014400
2022-05-30,1419498
2022-05-31,2349760
2022-06-01,10716780
2022-06-02,8605280
2022-06-03,34838600
2022-06-04,48407200
2022-06-05,26984600
2022-06-06,51029000
2022-06-07,26349800
2022-06-08,16188700
2022-06-09,19662380
2022-06-10,26342600
2022-06-11,36215400
2022-06-12,19455420
2022-06-13,20488800
2022-06-14,5212140
2022-06-15,10000400
2022-06-16,1058478
2022-06-17,15610700
2022-06-18,16858500
2022-06-19,21819000
2022-06-20,20228800
2022-06-21,2102020
2022-06-22,8466520
2022-06-23,5454920
2022-06-24,5198820
2022-06-25,8174120
2022-06-26,7411360
2022-06-27,3708500
2022-06-28,3434040
2022-06-29,5743020
2022-06-30,14399960
2022-07-01,34340800
2022-07-02,12087920
2022-07-03,12123820
2022-07-04,14418440
2022-07-05,21960000
2022-07-06,21875000
2022-07-07,52200000
2022-07-08,11116020
2022-07-09,32705600
2022-07-10,21265800
2022-07-11,4698620
2022-07-12,4407000
2022-07-13,16364880
2022-07-14,17725060
2022-07-15,18402900
2022-07-16,20013400
2022-07-17,707712
2022-07-18,1078876
2022-07-19,7356700
2022-07-20,25700000
2022-07-21,27418600
2022-07-22,6963380
2022-07-23,1357866
2022-07-24,17316940
2022-07-25,44766600
2022-07-26,38970400
2022-07-27,14641180
2022-07-28,20548400
2022-07-29,14449280
2022-07-30,4403060
2022-07-31,32492600
2022-08-01,8500260
2022-08-02,30319200
2022-08-03,19774020
2022-08-04,8347920
2022-08-05,19282860
2022-08-06,8179040
2022-08-07,3929260
2022-08-08,10095420
2022-08-09,14357580
2022-08-10,12237820
2022-08-11,13743740
2022-08-12,15844020
2022-08-13,6932740
2022-08-14,7560700
2022-08-15,5089820
2022-08-16,7167080
2022-08-17,11460040
2022-08-18,2129600
2022-08-19,9014920
2022-08-20,9904480
2022-08-21,10981880
2022-08-22,1499128
2022-08-23,3777620
2022-08-24,5737440
2022-08-25,23016600
2022-08-26,32202000
2022-08-27,14463260
2022-08-28,18351080
2022-08-29,8208780
2022-08-30,26563600
2022-08-31,46378000
2022-09-01,26981200
2022-09-02,18774840
2022-09-03,9608420
2022-09-04,2301140
2022-09-05,5816120
2022-09-06,3268220
2022-09-07,7369360
2022-09-08,11159520
2022-09-09,38462800
2022-09-10,19905040
2022-09-11,1194712
2022-09-12,9866480
2022-09-13,17335900
2022-09-14,4857360
2022-09-15,43005000
2022-09-16,49859600
2022-09-17,69054200
2022-09-18,50456400
2022-09-19,42446000
2022-09-20,19014720
2022-09-21,678710
2022-09-22,3552500
2022-09-23,6064340
2022-09-24,21162800
2022-09-25,15810280
2022-09-26,58850800
2022-09-27,26814200
2022-09-28,4615840
2022-09-29,894616
2022-09-30,30964800
2022-10-01,73750800
2022-10-02,28005800
2022-10-03,4837380
2022-10-04,33116200
2022-10-05,97473000
2022-10-06,48674000
2022-10-07,67090800
2022-10-08,29341400
2022-10-09,7392840
2022-10-10,25360600
2022-10-11,2465480
2022-10-12,5928160
2022-10-13,5072160
2022-10-14,10583820
2022-10-15,34972600
2022-10-16,37568200
2022-10-17,21041800
2022-10-18,4784880
2022-10-19,29527000
2022-10-20,28219200
2022-10-21,15453380
2022-10-22,24858000
2022-10-23,28644000
2022-10-24,82400400
2022-10-25,27778800
2022-10-26,29471800
2022-10-27,28986400
2022-10-28,21349400
2022-10-29,7551020
2022-10-30,9642320
2022-10-31,16463660
2022-11-01,115239800
2022-11-02,79429400
2022-11-03,77799000
2022-11-04,21560800
2022-11-05,37091000
2022-11-06,92889600
2022-11-07,86328200
2022-11-08,99209000
2022-11-09,65529800
2022-11-10,64076800
2022-11-11,44990200
2022-11-12,3959020
2022-11-13,7021760
2022-11-14,9979180
2022-11-15,44871000
2022-11-16,42727600
2022-11-17,103005800
2022-11-18,27467800
2022-11-19,27180200
2022-11-20,12866460
2022-11-21,24082800
2022-11-22,66018400
2022-11-23,50803400
2022-11-24,48674400
2022-11-25,26943200
2022-11-26,25069800
2022-11-27,56673800
2022-11-28,4978120
2022-11-29,1492000
2022-11-30,538784
2022-12-01,8060400
2022-12-02,35528800
2022-12-03,41588600
2022-12-04,41581000
2022-12-05,26319200
2022-12-06,14513380
2022-12-07,31521600
2022-12-08,8173020
2022-12-09,1245202
2022-12-10,8697460
2022-12-11,9295800
2022-12-12,5546420
2022-12-13,4968960
2022-12-14,2089020
2022-12-15,13225120
2022-12-16,4885860
2022-12-17,20770200
2022-12-18,30253800
2022-12-19,101550400
2022-12-20,54442600
2022-12-21,30859000
2022-12-22,21597600
2022-12-23,14448040
2022-12-24,38081200
2022-12-25,16010800
2022-12-26,50886200
2022-12-27,58376400
2022-12-28,125234000
2022-12-29,133919000
2022-12-30,99968400
2022-12-31,143803200
