station_id,date,wind_direction_deg,vector_avg_wind_speed_ms,avg_wind_speed_ms,max_wind_speed_ms,max_wind_hour,min_wind_speed_ms,min_wind_hour
225,2022-01-01,199,8.7,8.8,10.0,14,7.0,7
225,2022-01-02,220,11.8,12.3,16.0,21,10.0,1
225,2022-01-03,228,11.3,11.4,15.0,4,8.0,20
225,2022-01-04,286,5.9,8.5,13.0,24,6.0,7
225,2022-01-05,303,12.6,13.8,18.0,9,10.0,24
225,2022-01-06,227,5.6,8.9,17.0,23,3.0,9
225,2022-01-07,249,10.3,11.6,15.0,2,9.0,20
225,2022-01-08,218,6.2,10.1,14.0,24,8.0,7
225,2022-01-09,279,9.4,9.7,14.0,1,3.0,24
225,2022-01-10,171,3.4,3.5,4.0,3,3.0,1
225,2022-01-11,197,6.1,6.5,9.0,13,4.0,1
225,2022-01-12,221,3.4,4.8,9.0,24,1.0,7
225,2022-01-13,222,7.4,7.5,9.0,5,5.0,22
225,2022-01-14,297,2.3,3.4,6.0,1,1.0,18
225,2022-01-15,158,3.4,3.6,5.0,14,2.0,1
225,2022-01-16,272,7.5,8.1,10.0,8,7.0,1
225,2022-01-17,300,7.0,7.3,10.0,4,3.0,24
225,2022-01-18,221,4.0,4.5,7.0,13,2.0,5
225,2022-01-19,279,6.3,8.8,12.0,24,3.0,1
225,2022-01-20,344,12.1,12.3,14.0,5,10.0,21
225,2022-01-21,319,8.2,8.5,10.0,1,7.0,6
225,2022-01-22,305,5.3,5.5,8.0,1,4.0,15
225,2022-01-23,220,1.4,2.5,4.0,1,1.0,3
225,2022-01-24,142,1.6,2.0,3.0,1,1.0,7
225,2022-01-25,159,2.1,2.5,4.0,19,1.0,3
225,2022-01-26,245,7.5,8.3,14.0,24,3.0,1
225,2022-01-27,274,9.9,11.5,14.0,1,10.0,11
225,2022-01-28,258,5.7,8.0,11.0,1,2.0,11
225,2022-01-29,258,11.4,12.9,14.0,11,11.0,5
225,2022-01-30,285,7.0,9.7,14.0,5,4.0,15
225,2022-01-31,311,16.1,17.4,22.0,9,10.0,24
225,2022-02-01,273,11.6,12.0,14.0,12,8.0,1
225,2022-02-02,267,6.1,7.1,12.0,1,3.0,13
225,2022-02-03,218,9.7,9.8,12.0,6,7.0,1
225,2022-02-04,250,11.1,13.7,18.0,12,10.0,1
225,2022-02-05,242,13.3,14.4,18.0,19,11.0,7
225,2022-02-06,262,12.6,15.3,18.0,9,10.0,12
225,2022-02-07,275,9.3,11.6,16.0,1,10.0,8
225,2022-02-08,227,10.9,11.0,12.0,1,10.0,4
225,2022-02-09,222,9.4,9.5,13.0,8,5.0,19
225,2022-02-10,275,6.1,6.7,13.0,23,2.0,2
225,2022-02-11,311,7.0,8.7,16.0,5,2.0,19
225,2022-02-12,189,8.7,8.9,12.0,12,4.0,2
225,2022-02-13,185,10.7,10.8,15.0,23,9.0,3
225,2022-02-14,217,11.8,12.7,16.0,5,9.0,22
225,2022-02-15,225,10.5,11.2,19.0,17,7.0,3
225,2022-02-16,223,15.2,15.5,21.0,19,9.0,1
225,2022-02-17,262,13.8,14.0,19.0,7,7.0,18
225,2022-02-18,231,15.5,17.7,26.0,15,5.0,5
225,2022-02-19,253,13.3,15.3,21.0,1,12.0,14
225,2022-02-20,232,14.8,16.2,23.0,20,8.0,3
225,2022-02-21,284,15.3,17.2,21.0,1,11.0,22
225,2022-02-22,254,9.2,11.0,15.0,13,6.0,6
225,2022-02-23,227,9.5,10.1,13.0,22,8.0,4
225,2022-02-24,241,11.2,13.6,16.0,11,10.0,15
225,2022-02-25,287,9.7,10.7,15.0,1,3.0,24
225,2022-02-26,171,2.6,3.5,5.0,15,2.0,2
225,2022-02-27,133,5.2,5.3,8.0,12,3.0,5
225,2022-02-28,153,5.3,5.3,7.0,9,4.0,18
225,2022-03-01,110,2.3,3.0,6.0,24,1.0,13
225,2022-03-02,83,5.6,5.6,7.0,9,5.0,2
225,2022-03-03,91,5.7,5.8,8.0,15,4.0,5
225,2022-03-04,95,5.0,5.1,6.0,5,4.0,9
225,2022-03-05,65,4.8,5.3,8.0,22,3.0,9
225,2022-03-06,49,7.0,7.2,9.0,3,5.0,19
225,2022-03-07,87,4.7,4.9,8.0,16,2.0,6
225,2022-03-08,132,5.7,5.8,8.0,10,4.0,1
225,2022-03-09,142,4.6,4.6,6.0,4,3.0,19
225,2022-03-10,133,4.5,4.7,6.0,13,4.0,2
225,2022-03-11,131,6.9,7.0,9.0,14,5.0,1
225,2022-03-12,167,4.9,5.7,9.0,10,2.0,15
225,2022-03-13,157,5.6,6.0,8.0,1,4.0,18
225,2022-03-14,207,5.4,5.8,8.0,6,3.0,20
225,2022-03-15,143,1.9,3.1,4.0,1,1.0,20
225,2022-03-16,130,5.8,6.0,8.0,9,3.0,3
225,2022-03-17,261,5.9,7.5,12.0,3,4.0,21
225,2022-03-18,75,2.7,4.6,8.0,20,1.0,8
225,2022-03-19,77,9.2,9.3,13.0,14,7.0,2
225,2022-03-20,103,5.6,6.9,11.0,8,3.0,14
225,2022-03-21,112,1.7,3.9,5.0,3,2.0,2
225,2022-03-22,77,3.0,3.6,6.0,21,2.0,8
225,2022-03-23,76,4.0,4.2,6.0,11,1.0,20
225,2022-03-24,36,2.3,3.3,5.0,1,1.0,9
225,2022-03-25,19,3.7,4.0,6.0,13,2.0,5
225,2022-03-26,19,3.7,4.0,8.0,16,0.0,6
225,2022-03-27,57,4.9,5.5,8.0,15,4.0,7
225,2022-03-28,50,3.2,4.2,6.0,1,2.0,10
225,2022-03-29,72,5.8,5.8,7.0,7,4.0,2
225,2022-03-30,52,5.6,5.8,10.0,20,3.0,4
225,2022-03-31,36,9.5,9.6,16.0,22,5.0,2
225,2022-04-01,40,10.9,11.0,14.0,1,7.0,22
225,2022-04-02,32,6.8,7.0,11.0,16,3.0,24
225,2022-04-03,285,4.3,5.9,12.0,23,1.0,5
225,2022-04-04,248,12.7,13.3,19.0,7,4.0,24
225,2022-04-05,247,8.1,8.4,10.0,9,4.0,1
225,2022-04-06,222,15.2,15.2,19.0,16,10.0,1
225,2022-04-07,251,14.7,16.2,19.0,12,13.0,5
225,2022-04-08,298,8.5,9.5,13.0,2,6.0,10
225,2022-04-09,303,10.8,11.0,13.0,1,8.0,22
225,2022-04-10,299,3.5,4.8,10.0,5,1.0,19
225,2022-04-11,99,5.2,5.4,9.0,17,2.0,2
225,2022-04-12,139,4.0,5.0,7.0,13,2.0,19
225,2022-04-13,208,4.7,4.8,6.0,5,4.0,9
225,2022-04-14,259,1.3,2.8,5.0,1,2.0,7
225,2022-04-15,63,4.2,4.5,6.0,19,3.0,3
225,2022-04-16,88,5.4,5.5,7.0,10,2.0,4
225,2022-04-17,127,4.2,4.3,6.0,4,3.0,9
225,2022-04-18,154,0.8,4.5,6.0,5,2.0,15
225,2022-04-19,70,5.3,5.6,9.0,20,2.0,5
225,2022-04-20,71,8.0,8.2,11.0,20,6.0,9
225,2022-04-21,68,7.9,8.1,10.0,11,5.0,3
225,2022-04-22,73,8.9,9.0,12.0,15,6.0,20
225,2022-04-23,76,10.3,10.4,13.0,14,8.0,19
225,2022-04-24,50,8.3,8.5,11.0,14,5.0,24
225,2022-04-25,42,6.7,6.9,9.0,14,5.0,5
225,2022-04-26,6,6.4,6.8,9.0,7,4.0,23
225,2022-04-27,3,4.3,4.6,7.0,15,3.0,1
225,2022-04-28,53,5.2,5.5,7.0,18,3.0,4
225,2022-04-29,43,6.6,6.8,9.0,19,5.0,3
